date,student_id,check_in_time,class_start_time,weather_condition,unexpected_event,attendance_status
2025-08-12,N22DCCN001,06:29:03,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN002,06:01:40,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN003,06:08:40,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN004,06:02:09,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN005,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN006,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN007,06:20:53,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN008,06:41:10,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN009,06:38:09,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN010,05:57:19,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN011,05:58:51,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN012,06:09:24,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN013,05:39:44,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN014,06:35:30,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN015,06:16:26,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN016,06:26:35,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN017,06:38:32,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN018,06:01:15,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN019,06:03:29,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN020,06:47:51,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN021,06:32:17,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN022,06:51:20,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN023,06:30:01,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN024,06:22:28,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN025,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN026,06:41:16,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN027,06:52:59,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN028,06:15:07,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN029,06:09:58,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN030,05:48:26,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN031,06:23:44,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN032,06:22:27,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN033,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN034,06:21:13,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN035,06:55:00,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN036,06:06:28,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN037,07:02:21,07:00:00,Cloudy,No,Late
2025-08-12,N22DCCN038,06:53:10,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN039,06:17:05,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN040,06:53:40,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN041,06:27:44,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN042,06:23:51,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN043,05:55:44,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN044,06:18:27,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN045,05:58:27,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN046,06:35:38,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN047,06:31:54,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN048,05:52:16,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN049,06:29:54,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN050,06:11:01,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN051,05:49:10,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN052,06:28:48,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN053,06:11:07,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN054,05:52:37,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN055,06:11:07,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN056,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN057,06:44:48,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN058,06:49:14,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN059,06:33:26,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN060,06:29:13,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN061,06:03:11,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN062,05:47:05,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN063,06:33:50,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN064,06:21:02,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN065,05:35:10,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN066,06:35:49,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN067,06:23:22,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN068,06:35:12,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN069,06:10:54,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN070,06:24:37,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN071,06:08:24,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN072,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN073,05:22:18,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN074,06:09:48,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN075,06:47:37,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN076,06:13:58,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN077,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN078,05:57:06,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN079,06:31:45,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN080,06:42:04,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN081,06:26:34,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN082,06:14:32,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN083,06:26:53,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN084,07:15:17,07:00:00,Cloudy,No,Late
2025-08-12,N22DCCN085,06:18:40,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN086,06:03:27,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN087,06:15:32,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN088,07:03:11,07:00:00,Cloudy,No,Late
2025-08-12,N22DCCN089,06:33:58,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN090,05:15:52,07:00:00,Cloudy,Yes,OnTime
2025-08-12,N22DCCN091,06:17:36,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN092,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN093,05:43:40,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN094,05:40:14,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN095,06:02:06,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN096,05:41:38,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN097,07:08:59,07:00:00,Cloudy,No,Late
2025-08-12,N22DCCN098,06:15:56,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN099,06:00:04,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN100,06:41:33,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN101,06:47:25,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN102,07:05:08,07:00:00,Cloudy,No,Late
2025-08-12,N22DCCN103,06:30:58,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN104,06:24:19,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN105,06:31:48,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN106,06:52:51,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN107,05:54:38,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN108,05:59:12,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN109,06:55:57,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN110,05:51:07,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN111,06:07:57,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN112,06:15:18,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN113,06:14:43,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN114,06:39:14,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN115,06:52:46,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN116,05:49:34,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN117,06:45:45,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN118,06:16:50,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN119,06:46:34,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN120,06:12:19,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN121,07:05:55,07:00:00,Cloudy,No,Late
2025-08-12,N22DCCN122,06:32:29,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN123,,07:00:00,Cloudy,No,Absent
2025-08-12,N22DCCN124,05:49:42,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN125,06:28:52,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN126,06:01:42,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN127,06:05:25,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN128,06:19:33,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN129,06:22:57,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN130,05:53:52,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN131,06:41:01,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN132,06:11:44,07:00:00,Cloudy,No,OnTime
2025-08-12,N22DCCN133,06:20:46,07:00:00,Cloudy,No,OnTime
