student_id,weekday,distance_km,weather,transport_mode,avg_speed_kmh,habitual_punctuality,sleep_hours,alarm_used,hour_start_time,traffic_condition,preparation_time,unexpected_event,class_importance,is_late
N22DCQCN001,Monday,23.0,cloudy,bike,13.5,0.67,6.3,yes,7,moderate,34.0,no,high,yes
N22DCQCN002,Friday,13.6,sunny,bike,20.2,0.41,4.6,yes,9,moderate,35.0,no,low,yes
N22DCQCN003,Monday,1.0,sunny,bike,18.1,0.82,8.2,yes,8,heavy,29.0,no,medium,no
N22DCQCN004,Monday,9.7,sunny,bike,22.2,0.46,6.3,yes,7,moderate,23.0,no,low,no
N22DCQCN005,Tuesday,11.7,sunny,car,31.2,0.5,5.8,yes,8,moderate,55.0,no,low,yes
N22DCQCN006,Friday,1.0,sunny,car,35.0,0.76,6.6,no,16,heavy,51.0,no,medium,no
N22DCQCN007,Monday,4.2,sunny,train,44.1,0.78,8.0,yes,15,light,19.0,no,medium,no
N22DCQCN008,Monday,6.2,sunny,car,49.5,0.76,7.4,yes,15,light,26.0,no,medium,no
N22DCQCN009,,12.8,sunny,bus,28.6,0.63,9.6,yes,16,moderate,49.0,no,high,yes
N22DCQCN010,Tuesday,21.7,rainy,bike,13.3,0.69,6.7,yes,7,moderate,39.0,yes,low,yes
N22DCQCN011,Thursday,7.1,sunny,train,52.2,0.64,8.0,yes,8,moderate,32.0,yes,medium,no
N22DCQCN012,Friday,7.1,cloudy,car,39.9,0.71,6.8,no,13,light,55.0,no,high,no
N22DCQCN013,Thursday,15.8,sunny,train,48.3,0.68,7.4,yes,7,moderate,27.0,no,medium,no
N22DCQCN014,Monday,16.1,cloudy,bus,24.8,0.64,6.8,yes,7,moderate,14.0,yes,low,yes
N22DCQCN015,Friday,22.5,sunny,bus,25.4,0.95,7.8,no,8,heavy,11.0,no,medium,yes
N22DCQCN016,Monday,5.6,sunny,train,51.8,0.87,6.9,yes,7,moderate,24.0,no,high,no
N22DCQCN017,Friday,5.9,rainy,bus,19.7,0.89,7.9,yes,13,moderate,43.0,no,medium,no
N22DCQCN018,Monday,9.3,sunny,bus,27.5,0.94,6.5,yes,15,moderate,38.0,no,medium,no
N22DCQCN019,Friday,16.5,rainy,bus,28.5,0.33,7.0,no,14,light,10.0,no,high,no
N22DCQCN020,Monday,11.9,cloudy,bike,16.6,0.73,7.1,yes,9,moderate,34.0,no,high,yes
N22DCQCN021,Tuesday,15.7,sunny,train,54.4,0.58,5.2,yes,7,moderate,29.0,no,high,no
N22DCQCN022,Wednesday,5.5,sunny,train,58.3,0.41,7.4,yes,10,light,16.0,no,medium,no
N22DCQCN023,Monday,8.5,cloudy,bus,29.3,0.8,5.8,yes,14,heavy,52.0,no,high,yes
N22DCQCN024,Tuesday,10.0,sunny,bus,29.2,0.89,7.9,yes,7,moderate,47.0,no,medium,no
N22DCQCN025,Thursday,9.1,windy,train,49.9,0.52,8.9,yes,8,moderate,24.0,no,medium,no
N22DCQCN026,Monday,3.4,sunny,bike,18.4,0.77,6.0,yes,16,moderate,20.0,no,medium,no
N22DCQCN027,Wednesday,14.1,sunny,bus,27.8,0.72,7.3,yes,10,moderate,29.0,no,high,no
N22DCQCN028,Tuesday,3.9,sunny,bike,17.5,0.79,6.5,yes,9,moderate,17.0,no,medium,no
N22DCQCN029,Friday,13.1,cloudy,bike,18.9,0.62,9.4,yes,8,heavy,21.0,no,medium,yes
N22DCQCN030,Wednesday,25.5,sunny,bus,29.1,1.0,6.0,yes,7,light,15.0,no,medium,no
N22DCQCN031,Monday,9.3,sunny,bus,33.1,0.78,8.4,yes,8,moderate,21.0,no,low,no
N22DCQCN032,Friday,1.0,rainy,bus,24.7,0.69,7.5,yes,8,heavy,20.0,no,low,no
N22DCQCN033,Tuesday,8.4,sunny,bike,19.4,0.51,7.2,yes,8,light,43.0,no,medium,no
N22DCQCN034,Thursday,9.3,cloudy,bus,27.6,0.86,7.7,yes,7,moderate,30.0,no,medium,no
N22DCQCN035,Thursday,28.0,sunny,train,44.0,0.8,6.7,yes,15,light,10.0,no,medium,no
N22DCQCN036,Wednesday,9.6,cloudy,bike,16.7,0.73,5.2,yes,16,moderate,10.0,no,medium,no
N22DCQCN037,Friday,12.8,cloudy,bike,18.4,0.21,9.0,yes,8,moderate,15.0,no,low,yes
N22DCQCN038,Tuesday,6.8,sunny,bus,28.2,0.61,6.5,yes,8,moderate,54.0,no,medium,no
N22DCQCN039,Wednesday,8.2,rainy,bus,27.8,0.36,4.5,yes,7,light,25.0,no,low,no
N22DCQCN040,Wednesday,20.9,cloudy,walk,6.2,0.44,6.3,yes,8,light,31.0,no,medium,yes
N22DCQCN041,Thursday,25.1,cloudy,bike,16.2,0.86,6.0,yes,9,moderate,47.0,no,medium,yes
N22DCQCN042,Tuesday,1.0,sunny,car,47.3,0.63,6.4,yes,15,light,48.0,no,medium,no
N22DCQCN043,Tuesday,3.7,sunny,bike,23.8,0.61,9.4,yes,13,light,29.0,no,medium,no
N22DCQCN044,Monday,8.5,sunny,walk,5.0,0.92,7.5,yes,15,light,41.0,no,medium,yes
N22DCQCN045,Thursday,2.2,sunny,bike,12.9,0.45,6.9,no,8,moderate,13.0,no,high,no
N22DCQCN046,Friday,5.9,cloudy,bus,31.2,0.53,5.9,no,14,moderate,42.0,no,high,no
N22DCQCN047,Wednesday,14.8,cloudy,bike,18.8,1.0,6.7,no,9,heavy,31.0,no,medium,yes
N22DCQCN048,Wednesday,8.4,cloudy,bike,18.5,0.63,6.0,yes,9,moderate,29.0,yes,medium,yes
N22DCQCN049,Wednesday,24.0,sunny,car,35.7,0.7,7.4,yes,14,moderate,34.0,no,medium,yes
N22DCQCN050,Monday,3.5,cloudy,bus,25.4,0.68,5.0,yes,13,moderate,27.0,no,high,no
N22DCQCN051,Tuesday,8.4,rainy,car,32.1,0.73,6.0,yes,8,light,60.0,no,medium,yes
N22DCQCN052,Friday,2.0,cloudy,train,51.4,0.57,7.3,no,7,moderate,30.0,no,low,no
N22DCQCN053,Thursday,1.0,sunny,train,45.5,0.92,8.0,no,15,light,31.0,no,medium,no
N22DCQCN054,Friday,7.7,cloudy,bike,16.5,0.74,8.0,yes,9,heavy,25.0,no,high,no
N22DCQCN055,Tuesday,17.9,sunny,bus,22.2,0.7,7.0,yes,14,light,38.0,no,high,yes
N22DCQCN056,Monday,3.7,rainy,car,34.4,0.68,10.0,yes,7,heavy,11.0,no,medium,no
N22DCQCN057,Monday,19.2,sunny,bike,22.1,0.75,8.8,no,8,moderate,37.0,no,high,yes
N22DCQCN058,Friday,6.2,cloudy,car,26.3,0.48,4.8,yes,16,moderate,10.0,no,medium,no
N22DCQCN059,Tuesday,25.0,rainy,walk,5.3,0.59,6.5,yes,7,moderate,14.0,no,medium,yes
N22DCQCN060,Thursday,1.0,sunny,car,40.1,1.0,8.2,yes,8,light,48.0,no,high,no
N22DCQCN061,Friday,13.7,sunny,walk,5.4,0.33,7.6,yes,8,heavy,29.0,no,medium,yes
N22DCQCN062,Monday,9.0,cloudy,car,35.0,0.63,6.1,yes,10,moderate,30.0,no,high,no
N22DCQCN063,Friday,1.0,rainy,bus,25.4,0.58,5.4,yes,14,moderate,47.0,no,medium,no
N22DCQCN064,Monday,1.0,cloudy,bike,19.6,0.77,4.0,no,13,moderate,35.0,no,high,no
N22DCQCN065,Friday,14.4,cloudy,bike,14.0,0.67,6.2,no,8,moderate,35.0,no,high,yes
N22DCQCN066,Thursday,14.0,sunny,train,51.0,0.81,8.1,yes,8,moderate,30.0,no,medium,no
N22DCQCN067,Tuesday,9.1,sunny,train,41.5,0.33,7.3,yes,9,moderate,53.0,no,low,no
N22DCQCN068,Wednesday,11.9,sunny,walk,5.0,0.74,6.3,yes,9,moderate,28.0,no,high,yes
N22DCQCN069,Monday,22.4,sunny,walk,5.8,0.55,7.8,no,8,heavy,10.0,no,medium,yes
