student_id, weekday  , class_start_time, distance_km, weather, transport_mode, avg_speed_kmh, habitual_punctuality, sleep_hours, alarm_used, expected_time, check_in_time, late_minutes
N22DCIT613, Wednesday, 07:00           ,         2.6, rainy  , bike          ,          19.3,                 0.62,        6.4 , yes       , 06:51        , 07:02        ,            3
N22DCIT601, Tuesday  , 07:00           ,         1.0, sunny  , walk          ,           5.9,                 0.69,        7.64, yes       , 06:49        , 06:55        ,            0
N22DCVT495, Sunday   , 07:00           ,         8.0, cloudy , bus           ,          24.7,                 0.97,        5.5 , yes       , 06:40        , 06:54        ,            0
N22DCME878, Monday   , 07:00           ,         9.0, sunny  , bus           ,          39.2,                 0.97,        6.29, yes       , 06:46        , 06:50        ,            0
N22DCVT244, Friday   , 07:00           ,         8.5, sunny  , bus           ,          28.8,                 0.99,        8.07, yes       , 06:42        , 06:49        ,            0
N22DCME045, Wednesday, 07:00           ,         3.4, sunny  , bike          ,          20.1,                 0.76,        6.81, no        , 06:49        , 06:52        ,            0
N22DCME679, Tuesday  , 07:00           ,         4.3, windy  , bike          ,          20.6,                 0.61,        7.72, no        , 06:47        , 06:51        ,            0
N22DCDK779, Monday   , 07:00           ,         8.1, sunny  , bus           ,          33.0,                 0.59,        7.11, no        , 06:45        , 06:57        ,            0
N22DCCN755, Tuesday  , 07:00           ,         6.5, sunny  , bus           ,          25.7,                 0.82,        7.4 , yes       , 06:44        , 06:46        ,            0
N22DCVT206, Monday   , 07:00           ,         5.0, sunny  , bike          ,          21.7,                 0.76,        6.49, yes       , 06:46        , 06:59        ,            0
N22DCME802, Wednesday, 07:00           ,         0.6, sunny  , walk          ,           4.2,                 0.53,        6.87, yes       , 06:51        , 06:59        ,            0
N22DCVT875, Sunday   , 07:00           ,         4.8, rainy  , bike          ,          24.1,                 0.83,        6.85, yes       , 06:48        , 07:02        ,            2
N22DCCN516, Thursday , 07:00           ,         2.6, sunny  , bike          ,          23.9,                 0.77,        8.11, yes       , 06:53        , 06:59        ,            0
N22DCCN725, Friday   , 07:00           ,         5.8, sunny  , bus           ,          25.1,                 0.89,        5.52, yes       , 06:46        , 07:00        ,            1
N22DCCN553, Thursday , 07:00           ,         3.5, rainy  , bike          ,          19.0,                 0.7 ,        6.27, yes       , 06:48        , 07:02        ,            2
N22DCVT072, Monday   , 07:00           ,         9.5, sunny  , bus           ,          34.8,                 0.62,        7.92, no        , 06:43        , 06:44        ,            0
N22DCME498, Sunday   , 07:00           ,         6.6, cloudy , bus           ,          31.0,                 0.96,        8.61, no        , 06:47        , 06:47        ,            0
N22DCIT630, Tuesday  , 07:00           ,         2.5, rainy  , bike          ,          22.6,                 0.76,        7.97, yes       , 06:53        , 06:58        ,            0
N22DCCN944, Tuesday  , 07:00           ,         2.8, windy  , bike          ,          22.5,                 0.53,        5.49, yes       , 06:52        , 07:04        ,            5
N22DCIT739, Tuesday  , 07:00           ,         3.5, sunny  , bike          ,          16.0,                 0.75,        8.87, yes       , 06:46        , 06:56        ,            0
N22DCVT502, Wednesday, 07:00           ,         4.9, sunny  , bike          ,          16.0,                 0.76,        6.0 , yes       , 06:41        , 06:43        ,            0
N22DCIT696, Friday   , 07:00           ,         7.6, sunny  , bus           ,          27.9,                 0.86,        6.88, yes       , 06:43        , 06:53        ,            0
N22DCDK662, Sunday   , 07:00           ,         7.2, sunny  , bus           ,          26.3,                 0.9 ,        5.58, yes       , 06:43        , 06:45        ,            0
N22DCVT341, Thursday , 07:00           ,         5.9, windy  , bus           ,          22.4,                 0.65,        8.75, yes       , 06:44        , 06:54        ,            0
N22DCDK646, Tuesday  , 07:00           ,         3.6, sunny  , bike          ,          20.1,                 0.87,        8.04, no        , 06:49        , 07:00        ,            0
N22DCME044, Tuesday  , 07:00           ,         2.4, cloudy , bike          ,          24.2,                 0.9 ,        8.71, no        , 06:54        , 07:01        ,            1
N22DCDK939, Monday   , 07:00           ,         1.3, cloudy , walk          ,           6.0,                 0.6 ,        5.25, yes       , 06:47        , 06:53        ,            0
N22DCIT235, Monday   , 07:00           ,         5.0, rainy  , bike          ,          23.1,                 0.55,        8.65, yes       , 06:47        , 06:51        ,            0
N22DCVT110, Tuesday  , 07:00           ,         3.2, cloudy , bike          ,          20.1,                 0.75,        6.48, no        , 06:50        , 06:54        ,            0
N22DCDK332, Thursday , 07:00           ,         8.2, rainy  , bus           ,          37.5,                 0.5 ,        8.45, yes       , 06:46        , 06:59        ,            0
N22DCDK788, Tuesday  , 07:00           ,         8.3, sunny  , bus           ,          36.6,                 0.71,        6.91, no        , 06:46        , 06:51        ,            0
N22DCIT253, Wednesday, 07:00           ,         3.4, cloudy , bike          ,          20.4,                 0.82,        5.32, yes       , 06:50        , 06:58        ,            0
N22DCVT306, Tuesday  , 07:00           ,         5.1, sunny  , bus           ,          22.9,                 0.71,        5.99, no        , 06:46        , 06:54        ,            0
N22DCME079, Sunday   , 07:00           ,         4.2, cloudy , bike          ,          15.4,                 0.79,        7.92, yes       , 06:43        , 06:45        ,            0
N22DCME563, Saturday , 07:00           ,         9.6, sunny  , bus           ,          29.7,                 0.79,        7.7 , yes       , 06:40        , 06:52        ,            0
N22DCVT609, Thursday , 07:00           ,         9.7, sunny  , bus           ,          32.7,                 0.85,        8.29, yes       , 06:42        , 06:52        ,            0
N22DCVT603, Friday   , 07:00           ,         6.6, rainy  , bus           ,          27.6,                 0.54,        6.9 , yes       , 06:45        , 06:49        ,            0
N22DCME281, Thursday , 07:00           ,         2.2, rainy  , bike          ,          15.1,                 0.74,        5.8 , yes       , 06:51        , 06:57        ,            0
N22DCME511, Monday   , 07:00           ,         4.7, cloudy , bike          ,          19.3,                 0.68,        9.0 , yes       , 06:45        , 06:59        ,            0
N22DCIT491, Wednesday, 07:00           ,         0.8, sunny  , walk          ,           5.5,                 0.71,        6.78, yes       , 06:51        , 06:55        ,            0
N22DCME773, Saturday , 07:00           ,         4.3, sunny  , bike          ,          22.7,                 0.67,        5.88, yes       , 06:48        , 06:55        ,            0
N22DCDK248, Sunday   , 07:00           ,         8.0, sunny  , bus           ,          23.2,                 0.82,        5.19, yes       , 06:39        , 06:44        ,            0
N22DCDK958, Thursday , 07:00           ,         7.0, windy  , bus           ,          34.3,                 0.76,        8.66, no        , 06:47        , 06:49        ,            0
N22DCME809, Tuesday  , 07:00           ,         9.5, sunny  , bus           ,          24.4,                 0.8 ,        8.61, yes       , 06:36        , 06:50        ,            0
N22DCIT815, Wednesday, 07:00           ,         4.5, cloudy , bike          ,          18.8,                 0.79,        7.62, yes       , 06:45        , 06:56        ,            0
N22DCDK783, Monday   , 07:00           ,         6.7, cloudy , bus           ,          36.1,                 0.68,        5.31, yes       , 06:48        , 06:58        ,            0
N22DCME885, Monday   , 07:00           ,         7.3, sunny  , bus           ,          34.4,                 0.92,        6.38, no        , 06:47        , 06:56        ,            0
N22DCDK282, Saturday , 07:00           ,         0.5, cloudy , walk          ,           4.3,                 0.7 ,        6.12, yes       , 06:53        , 06:53        ,            0
N22DCCN910, Monday   , 07:00           ,         6.0, cloudy , bus           ,          34.4,                 0.56,        8.02, yes       , 06:49        , 07:00        ,            0
N22DCME840, Thursday , 07:00           ,         2.3, rainy  , bike          ,          16.8,                 1.0 ,        6.54, yes       , 06:51        , 07:03        ,            3
N22DCIT136, Friday   , 07:00           ,         9.6, sunny  , bus           ,          27.0,                 0.75,        6.78, yes       , 06:38        , 06:53        ,            0
N22DCME719, Sunday   , 07:00           ,         2.5, sunny  , bike          ,          24.5,                 0.7 ,        6.33, yes       , 06:53        , 06:59        ,            0
N22DCIT638, Monday   , 07:00           ,         6.8, sunny  , bus           ,          38.6,                 0.66,        7.06, yes       , 06:49        , 07:03        ,            4
N22DCCN437, Sunday   , 07:00           ,         8.9, rainy  , bus           ,          35.5,                 0.77,        5.18, yes       , 06:44        , 06:57        ,            0
N22DCME778, Tuesday  , 07:00           ,         9.7, sunny  , bus           ,          20.4,                 0.74,        8.9 , yes       , 06:31        , 06:40        ,            0
N22DCCN250, Sunday   , 07:00           ,         0.7, sunny  , walk          ,           4.4,                 0.83,        8.49, yes       , 06:50        , 06:56        ,            0
N22DCDK356, Sunday   , 07:00           ,         9.8, sunny  , bus           ,          39.0,                 0.56,        5.78, yes       , 06:44        , 06:48        ,            0
N22DCIT677, Wednesday, 07:00           ,         5.0, sunny  , bike          ,          19.4,                 0.86,        8.23, yes       , 06:44        , 06:54        ,            0
N22DCME748, Sunday   , 07:00           ,         2.1, cloudy , bike          ,          22.1,                 0.65,        5.21, yes       , 06:54        , 06:59        ,            0
N22DCDK619, Tuesday  , 07:00           ,         9.2, sunny  , bus           ,          23.1,                 0.9 ,        7.12, yes       , 06:36        , 06:39        ,            0
N22DCVT916, Saturday , 07:00           ,         6.7, rainy  , bus           ,          21.8,                 0.55,        8.64, yes       , 06:41        , 06:54        ,            0
N22DCVT738, Friday   , 07:00           ,         2.3, sunny  , bike          ,          18.4,                 0.96,        5.06, yes       , 06:52        , 06:59        ,            0
N22DCIT282, Monday   , 07:00           ,         4.4, cloudy , bike          ,          21.1,                 0.98,        7.74, yes       , 06:47        , 06:53        ,            0
N22DCVT121, Monday   , 07:00           ,         4.5, cloudy , bike          ,          24.3,                 0.81,        5.31, yes       , 06:48        , 07:03        ,            3
N22DCCN830, Tuesday  , 07:00           ,         9.3, sunny  , bus           ,          26.9,                 0.94,        7.35, yes       , 06:39        , 06:42        ,            0
N22DCME679, Sunday   , 07:00           ,         5.0, rainy  , bike          ,          16.0,                 0.7 ,        8.97, yes       , 06:41        , 06:46        ,            0
N22DCDK476, Tuesday  , 07:00           ,         6.4, cloudy , bus           ,          27.4,                 0.58,        8.06, yes       , 06:45        , 06:55        ,            0
