student_id,weekday,class_start_time,distance_km,weather,transport_mode,avg_speed_kmh,habitual_punctuality,sleep_hours,alarm_used,expected_time,check_in_time,late_minutes
N22DCIT654,Thursday,07:00,9.9,windy,bus,35.8,0.82,7.28,yes,06:43,06:51,0
N22DCVT897,Sunday,07:00,1.9,sunny,walk,5.3,0.75,6.19,yes,06:38,06:53,0
N22DCME986,Tuesday,07:00,4.2,rainy,bike,21.6,0.87,5.64,yes,06:48,06:51,0
N22DCIT020,Monday,07:00,2.8,cloudy,bike,21.1,0.58,8.54,yes,06:52,07:04,4
N22DCCN155,Wednesday,07:00,1.9,cloudy,walk,5.3,0.67,6.51,yes,06:38,06:53,0
N22DCME721,Saturday,07:00,8.4,sunny,bus,26.9,0.79,5.54,yes,06:41,06:44,0
N22DCCN400,Friday,07:00,1.5,cloudy,walk,4.2,0.93,5.81,yes,06:38,06:47,0
N22DCDK574,Monday,07:00,5.4,rainy,bus,39.8,0.97,6.42,no,06:51,06:55,0
N22DCDK249,Sunday,07:00,4.2,sunny,bike,23.5,0.97,5.34,yes,06:49,07:03,3
N22DCCN697,Sunday,07:00,5.2,sunny,bus,34.6,0.9,7.05,yes,06:50,07:02,2
N22DCME417,Thursday,07:00,9.5,sunny,bus,34.9,0.85,6.44,yes,06:43,06:56,0
N22DCME593,Tuesday,07:00,6.1,cloudy,bus,33.7,0.99,6.96,yes,06:49,06:52,0
N22DCIT120,Monday,07:00,0.6,cloudy,walk,5.2,0.66,7.48,yes,06:53,06:56,0
N22DCDK436,Thursday,07:00,1.0,sunny,walk,4.8,0.72,8.54,yes,06:47,06:56,0
N22DCDK166,Sunday,07:00,1.4,sunny,walk,4.6,0.92,5.73,yes,06:41,06:43,0
N22DCIT927,Sunday,07:00,6.3,cloudy,bus,24.1,0.95,8.76,no,06:44,06:48,0
N22DCME527,Friday,07:00,4.9,sunny,bike,15.3,0.86,7.33,yes,06:40,06:45,0
N22DCDK183,Saturday,07:00,9.5,sunny,bus,32.6,0.61,8.32,yes,06:42,06:42,0
N22DCVT315,Thursday,07:00,1.9,sunny,walk,4.5,0.79,8.03,yes,06:34,06:45,0
N22DCIT943,Sunday,07:00,1.0,sunny,walk,4.1,0.84,6.04,yes,06:45,06:53,0
